,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2011-10-07,64.16,43.43,41.0,61.81,369.8,61.02,33.58,42.88,26.25,70.96,38.98,52.51,92.69,90.41,33.41,53.7,15.5,18.25,18.44,224.74,28.17,56.13,65.9,73.82,22.06,32.89,182.39,94.4,24.54,41.9,33.78,46.92,75.52,45.14,5.9,20.97,30.85,33.92,28.95,33.76,19.78,10.69,16.37,66.13,63.91,74.0,53.61,29.17,59.55,24.88,15.28,4.22,7.17,15.47,73.56,30.7,87.2,16.66,52.81,31.9
2011-10-10,66.95,45.45,42.08,64.03,388.81,61.87,35.94,43.75,26.94,71.66,40.96,54.76,96.14,91.74,33.67,54.81,16.14,19.0,18.92,231.32,29.62,57.82,66.9,76.72,23.05,34.23,186.62,98.2,26.13,43.17,34.35,48.98,79.13,46.38,6.28,22.19,32.13,34.66,29.81,34.3,21.04,11.21,17.48,68.0,64.8,75.75,54.05,29.81,61.68,25.74,16.1,4.34,7.48,15.84,76.28,32.3,88.51,17.09,54.71,32.29
2011-10-11,67.02,45.76,41.84,63.97,400.29,60.95,37.61,43.34,27.0,71.45,41.35,55.1,96.7,90.35,33.79,54.72,16.14,19.58,18.85,235.48,29.27,57.54,66.8,76.42,22.98,34.12,185.0,97.6,26.05,43.42,34.37,48.9,80.66,46.0,6.37,22.37,32.44,34.71,29.62,34.4,21.72,11.24,17.2,67.31,64.57,76.32,54.22,30.12,61.48,25.92,16.18,4.34,7.43,15.86,76.27,32.3,89.34,16.99,54.85,32.45
2011-10-12,67.85,47.03,42.62,64.32,402.19,62.7,38.56,43.4,26.96,71.99,43.27,55.69,99.11,91.22,33.15,55.2,16.4,19.94,18.82,236.81,30.23,58.05,67.48,78.36,23.6,34.49,186.12,97.78,26.95,43.98,34.67,50.0,81.7,46.47,6.58,23.76,32.91,34.72,29.7,34.6,22.24,11.38,17.04,67.8,64.89,76.13,54.44,30.26,62.52,25.87,16.24,4.34,7.48,15.77,77.16,33.2,88.36,17.25,55.32,32.65
2011-10-13,67.04,46.33,42.42,63.53,408.43,62.36,38.68,43.81,27.18,71.4,43.53,56.16,96.15,91.11,32.96,55.02,16.22,20.22,18.76,236.15,30.15,58.06,67.4,77.8,23.56,35.2,186.82,97.79,26.12,43.77,34.7,50.54,81.44,46.02,6.22,23.03,32.98,34.41,30.4,34.85,22.65,11.34,17.54,67.7,64.65,76.41,53.96,30.15,61.81,25.63,16.36,4.38,7.54,15.93,76.37,31.6,89.31,17.42,54.33,33.2
2011-10-14,68.99,46.1,42.77,63.89,422.0,62.24,41.51,43.64,27.27,71.91,44.97,57.65,96.73,92.34,33.0,55.46,16.6,20.17,19.04,246.71,30.65,58.56,67.85,78.89,23.94,35.42,190.53,100.47,26.67,45.09,35.13,51.89,84.09,45.51,6.19,23.37,33.53,35.05,30.93,35.23,23.62,11.56,18.11,67.46,64.89,75.99,54.84,29.75,62.04,26.11,16.62,4.37,7.73,15.91,78.11,31.89,89.94,17.55,54.56,34.15
2011-10-17,68.34,45.12,41.97,61.78,419.99,61.89,39.19,43.23,26.98,71.22,43.14,56.72,96.9,90.94,33.89,54.78,16.23,20.37,18.69,242.33,29.35,57.4,67.0,75.88,23.42,34.42,186.59,98.61,24.42,43.78,34.79,50.62,81.52,44.63,6.03,22.24,32.97,34.65,30.21,34.77,22.63,11.4,17.22,67.32,64.26,74.72,54.82,29.7,60.93,24.86,15.97,4.33,7.47,15.7,77.47,31.04,88.66,17.17,53.84,33.39
2011-10-18,69.21,46.68,42.88,63.47,422.24,62.41,40.38,43.4,27.31,71.78,45.52,58.34,102.25,92.34,33.83,55.89,16.71,20.79,18.97,243.88,30.5,57.8,66.74,78.36,23.78,34.85,178.9,102.95,25.86,44.98,35.15,51.76,84.72,44.98,6.64,23.44,33.76,35.95,30.89,35.24,23.39,11.78,17.54,68.12,64.92,75.98,54.82,31.22,62.64,25.61,16.37,4.4,7.69,15.47,78.89,32.87,89.64,17.51,54.4,33.68
2011-10-19,69.56,46.13,42.96,63.11,398.62,62.11,40.35,43.33,27.13,71.57,45.3,56.95,100.79,92.18,33.75,56.25,16.52,20.24,18.81,231.53,29.81,56.81,67.03,77.7,23.54,34.46,177.39,102.24,25.18,43.8,34.72,50.94,83.56,45.04,6.4,22.55,33.45,35.4,30.25,34.85,22.83,11.56,17.31,67.34,64.75,75.47,54.48,30.67,62.47,24.98,15.9,4.37,7.63,15.94,78.43,32.25,89.62,17.16,54.08,33.27
2011-10-20,70.27,46.19,42.76,62.49,395.31,62.12,40.1,43.97,27.04,71.7,46.1,57.39,100.86,91.62,33.59,56.37,16.63,20.23,18.73,233.61,30.14,57.98,67.12,78.68,23.57,34.65,177.25,103.39,25.76,44.13,34.78,51.79,84.26,45.14,6.47,22.91,33.58,35.73,29.95,35.06,23.38,11.7,16.96,66.79,65.09,75.7,54.39,29.67,63.15,24.74,15.05,4.38,7.61,16.18,78.71,33.13,89.01,17.19,54.11,33.41
